Name,Pro Debut,Team,Wins,Gender,Specialty,Nationality,Difficulty
Sepp Kuss,2018,Visma-Lease a Bike,11,Male,Climber,United States,Easy
Anton Schiffer,2026,Visma-Lease a Bike,1,Male,GC,Germany,Hard
Jørgen Nordhagen,2024,Visma-Lease a Bike,0,Male,GC,Norway,Hard
Bart Lemmen,2023,Visma-Lease a Bike,0,Male,GC,Netherlands,Hard
Tijmen Graat,2025,Visma-Lease a Bike,0,Male,GC,Netherlands,Hard
Per Strand Hagenes,2024,Visma-Lease a Bike,3,Male,GC,Norway,Hard
Davide Piganzoli,2023,Visma-Lease a Bike,2,Male,GC,Italy,Hard
Ben Tulett,2020,Visma-Lease a Bike,5,Male,GC,Great Britain,Medium
Matteo Jorgenson,2020,Visma-Lease a Bike,5,Male,GC,United States,Easy
Jonas Vingegaard,2019,Visma-Lease a Bike,42,Male,GC,Denmark,Noob
Wilco Kelderman,2012,Visma-Lease a Bike,4,Male,GC,Netherlands,Easy
Steven Kruijswijk,2010,Visma-Lease a Bike,2,Male,GC,Netherlands,Medium
Filippo Fiorelli,2020,Visma-Lease a Bike,1,Male,Hills,Italy,Medium
Tim Rex,2026,Visma-Lease a Bike,0,Male,Hills,Netherlands,Hard
Pietro Mattio,2026,Visma-Lease a Bike,0,Male,Hills,Italy,Hard
Owain Doull,2016,Visma-Lease a Bike,2,Male,Oneday,Great Britain,Hard
Matthew Brennan,2025,Visma-Lease a Bike,13,Male,Oneday,Great Britain,Easy
Menno Huising,2025,Visma-Lease a Bike,0,Male,Oneday,Netherlands,Hard
Christophe Laporte,2014,Visma-Lease a Bike,33,Male,Oneday,France,Easy
Wout van Aert,2019,Visma-Lease a Bike,51,Male,Oneday,Belgium,Noob
Axel Zingle,2021,Visma-Lease a Bike,6,Male,Oneday,France,Medium
Louis Barré,2023,Visma-Lease a Bike,0,Male,Oneday,France,Hard
Timo Kielich,2024,Visma-Lease a Bike,3,Male,Oneday,Belgium,Hard
Niklas Behrens,2025,Visma-Lease a Bike,0,Male,Sprint,Germany,Hard
Loe van Belle,2024,Visma-Lease a Bike,0,Male,Time Trial,Netherlands,Hard
Edoardo Affini,2019,Visma-Lease a Bike,3,Male,Time Trial,Italy,Medium
Victor Campenaerts,2014,Visma-Lease a Bike,12,Male,Time Trial,Belgium,Easy
Bruno Armirail,2017,Visma-Lease a Bike,4,Male,Time Trial,France,Medium
Aaron Dockx,2026,Alpecin-Deceuninck,0,Male,Climber,Belgium,Hard
Emiel Verstrynge,2025,Alpecin-Deceuninck,0,Male,Climber,Belgium,Hard
Ramses Debruyne,2025,Alpecin-Deceuninck,0,Male,Hills,Belgium,Hard
Jonas Geens,2025,Alpecin-Deceuninck,0,Male,GC,Belgium,Hard
Hugo Houle,2011,Alpecin-Deceuninck,3,Male,GC,Canada,Hard
Luca Vergallito,2024,Alpecin-Deceuninck,0,Male,GC,Italy,Hard
Tibor Del Grosso,2025,Alpecin-Deceuninck,1,Male,Hills,Netherlands,Hard
Gal Glivar,2025,Alpecin-Deceuninck,0,Male,Hills,Slovenia,Hard
Kaden Groves,2019,Alpecin-Deceuninck,21,Male,Hills,Australia,Easy
Henri Uhlig,2024,Alpecin-Deceuninck,1,Male,Hills,Germany,Hard
Michael Gogl,2015,Alpecin-Deceuninck,0,Male,Oneday,Austria,Hard
Senna Remijn,2026,Alpecin-Deceuninck,0,Male,Oneday,Netherlands,Hard
Francesco Busatto,2024,Alpecin-Deceuninck,0,Male,Oneday,Italy,Hard
Maurice Ballerstedt,2022,Alpecin-Deceuninck,0,Male,Oneday,Germany,Hard
Tobias Bayer,2021,Alpecin-Deceuninck,0,Male,Oneday,Austria,Hard
Lindsay De Vylder,2017,Alpecin-Deceuninck,0,Male,Oneday,Belgium,Hard
Edward Planckaert,2017,Alpecin-Deceuninck,1,Male,Oneday,Belgium,Medium
Mathieu van der Poel,2019,Alpecin-Deceuninck,56,Male,Oneday,Netherlands,Noob
Jonas Rickaert,2014,Alpecin-Deceuninck,1,Male,Oneday,Belgium,Medium
Oscar Riesebeek,2017,Alpecin-Deceuninck,1,Male,Oneday,Netherlands,Hard
Florian Sénéchal,2014,Alpecin-Deceuninck,5,Male,Oneday,France,Medium
Silvan Dillier,2014,Alpecin-Deceuninck,8,Male,Oneday,Switzerland,Medium
Jensen Plowright,2023,Alpecin-Deceuninck,2,Male,Sprint,Australia,Hard
Simon Dehairs,2025,Alpecin-Deceuninck,1,Male,Sprint,Belgium,Hard
Tim Marsman,2026,Alpecin-Deceuninck,0,Male,Sprint,Netherlands,Hard
Gerben Thijssen,2019,Alpecin-Deceuninck,9,Male,Sprint,Belgium,Medium
Jasper Philipsen,2019,Alpecin-Deceuninck,58,Male,Sprint,Belgium,Noob
Lennert Belmans,2026,Alpecin-Deceuninck,0,Male,Sprint,Belgium,Hard
Sente Sentjens,2026,Alpecin-Deceuninck,0,Male,Sprint,Belgium,Hard
Johan Price-Pejtersen,2021,Alpecin-Deceuninck,0,Male,Time Trial,Denmark,Hard
Pello Bilbao,2011,Bahrain Victorious,17,Male,Climber,Spain,Easy
Lenny Martinez,2023,Bahrain Victorious,10,Male,Climber,France,Easy
Attila Valter,2020,Bahrain Victorious,7,Male,Climber,Hungary,Medium
Santiago Buitrago,2020,Bahrain Victorious,8,Male,Climber,Colombia,Easy
Jakob Omrzel,2026,Bahrain Victorious,1,Male,GC,Slovenia,Hard
Damiano Caruso,2009,Bahrain Victorious,8,Male,GC,Italy,Medium
Rainer Kepplinger,2023,Bahrain Victorious,0,Male,GC,Austria,Hard
Afonso Eulálio,2025,Bahrain Victorious,0,Male,GC,Portugal,Hard
Antonio Tiberi,2020,Bahrain Victorious,2,Male,GC,Italy,Medium
Oliver Stockwell,2025,Bahrain Victorious,0,Male,Hills,Great Britain,Hard
Max van der Meulen,2024,Bahrain Victorious,0,Male,Hills,Netherlands,Hard
Matevž Govekar,2022,Bahrain Victorious,4,Male,Hills,Slovenia,Hard
Edoardo Zambanini,2022,Bahrain Victorious,0,Male,Hills,Italy,Hard
Pau Miquel,2022,Bahrain Victorious,0,Male,Hills,Spain,Hard
Robert Stannard,2019,Bahrain Victorious,0,Male,Hills,Australia,Hard
Nikias Arndt,2013,Bahrain Victorious,7,Male,Hills,Germany,Medium
Matej Mohorič,2014,Bahrain Victorious,25,Male,Oneday,Slovenia,Easy
Mathijs Paasschens,2019,Bahrain Victorious,0,Male,Oneday,Netherlands,Hard
Roman Ermakov,2025,Bahrain Victorious,0,Male,Oneday,Russia,Hard
Daniel Skerl,2025,Bahrain Victorious,0,Male,Sprint,Slovenia,Hard
Vlad van Mechelen,2024,Bahrain Victorious,0,Male,Sprint,Belgium,Hard
Phil Bauhaus,2015,Bahrain Victorious,22,Male,Sprint,Germany,Easy
