Name,Pro Debut,Team,Wins,Gender,Specialty,Nationality
Sepp Kuss,2018,Visma-Lease a Bike,11,Male,Climber,United States
Anton Schiffer,2026,Visma-Lease a Bike,1,Male,GC,Germany
Jørgen Nordhagen,2024,Visma-Lease a Bike,0,Male,GC,Norway
Bart Lemmen,2023,Visma-Lease a Bike,0,Male,GC,Netherlands
Tijmen Graat,2025,Visma-Lease a Bike,0,Male,GC,Netherlands
Per Strand Hagenes,2024,Visma-Lease a Bike,3,Male,GC,Norway
Davide Piganzoli,2023,Visma-Lease a Bike,2,Male,GC,Italy
Ben Tulett,2020,Visma-Lease a Bike,5,Male,GC,Great Britain
Matteo Jorgenson,2020,Visma-Lease a Bike,5,Male,GC,United States
Jonas Vingegaard,2019,Visma-Lease a Bike,42,Male,GC,Denmark
Wilco Kelderman,2012,Visma-Lease a Bike,4,Male,GC,Netherlands
Steven Kruijswijk,2010,Visma-Lease a Bike,2,Male,GC,Netherlands
Filippo Fiorelli,2020,Visma-Lease a Bike,1,Male,Hills,Italy
Tim Rex,2026,Visma-Lease a Bike,0,Male,Hills,Netherlands
Pietro Mattio,2026,Visma-Lease a Bike,0,Male,Hills,Italy
Owain Doull,2016,Visma-Lease a Bike,2,Male,Oneday,Great Britain
Matthew Brennan,2025,Visma-Lease a Bike,13,Male,Oneday,Great Britain
Menno Huising,2025,Visma-Lease a Bike,0,Male,Oneday,Netherlands
Christophe Laporte,2014,Visma-Lease a Bike,33,Male,Oneday,France
Wout van Aert,2019,Visma-Lease a Bike,51,Male,Oneday,Belgium
Axel Zingle,2021,Visma-Lease a Bike,6,Male,Oneday,France
Louis Barré,2023,Visma-Lease a Bike,0,Male,Oneday,France
Timo Kielich,2024,Visma-Lease a Bike,3,Male,Oneday,Belgium
Niklas Behrens,2025,Visma-Lease a Bike,0,Male,Sprint,Germany
Loe van Belle,2024,Visma-Lease a Bike,0,Male,Time Trial,Netherlands
Edoardo Affini,2019,Visma-Lease a Bike,3,Male,Time Trial,Italy
Victor Campenaerts,2014,Visma-Lease a Bike,12,Male,Time Trial,Belgium
Bruno Armirail,2017,Visma-Lease a Bike,4,Male,Time Trial,France
Aaron Dockx,2026,Alpecin-Deceuninck,0,Male,Climber,Belgium
Emiel Verstrynge,2025,Alpecin-Deceuninck,0,Male,Climber,Belgium
Ramses Debruyne,2025,Alpecin-Deceuninck,0,Male,Hills,Belgium
Jonas Geens,2025,Alpecin-Deceuninck,0,Male,GC,Belgium
Hugo Houle,2011,Alpecin-Deceuninck,3,Male,GC,Canada
Luca Vergallito,2024,Alpecin-Deceuninck,0,Male,GC,Italy
Tibor Del Grosso,2025,Alpecin-Deceuninck,1,Male,Hills,Netherlands
Gal Glivar,2025,Alpecin-Deceuninck,0,Male,Hills,Slovenia
Kaden Groves,2019,Alpecin-Deceuninck,21,Male,Hills,Australia
Henri Uhlig,2024,Alpecin-Deceuninck,1,Male,Hills,Germany
Michael Gogl,2015,Alpecin-Deceuninck,0,Male,Oneday,Austria
Senna Remijn,2026,Alpecin-Deceuninck,0,Male,Oneday,Netherlands
Francesco Busatto,2024,Alpecin-Deceuninck,0,Male,Oneday,Italy
Maurice Ballerstedt,2022,Alpecin-Deceuninck,0,Male,Oneday,Germany
Tobias Bayer,2021,Alpecin-Deceuninck,0,Male,Oneday,Austria
Lindsay De Vylder,2017,Alpecin-Deceuninck,0,Male,Oneday,Belgium
Edward Planckaert,2017,Alpecin-Deceuninck,1,Male,Oneday,Belgium
Mathieu van der Poel,2019,Alpecin-Deceuninck,56,Male,Oneday,Netherlands
Jonas Rickaert,2014,Alpecin-Deceuninck,1,Male,Oneday,Belgium
Oscar Riesebeek,2017,Alpecin-Deceuninck,1,Male,Oneday,Netherlands
Florian Sénéchal,2014,Alpecin-Deceuninck,5,Male,Oneday,France
Silvan Dillier,2014,Alpecin-Deceuninck,8,Male,Oneday,Switzerland
Jensen Plowright,2023,Alpecin-Deceuninck,2,Male,Sprint,Australia
Simon Dehairs,2025,Alpecin-Deceuninck,1,Male,Sprint,Belgium
Tim Marsman,2026,Alpecin-Deceuninck,0,Male,Sprint,Netherlands
Gerben Thijssen,2019,Alpecin-Deceuninck,9,Male,Sprint,Belgium
Jasper Philipsen,2019,Alpecin-Deceuninck,58,Male,Sprint,Belgium
Lennert Belmans,2026,Alpecin-Deceuninck,0,Male,Sprint,Belgium
Sente Sentjens,2026,Alpecin-Deceuninck,0,Male,Sprint,Belgium
Johan Price-Pejtersen,2021,Alpecin-Deceuninck,0,Male,Time Trial,Denmark
